1 1 1 1 1 0 1 1 1 0 1 1 1 1 1 1 1 0 0 0 0 1 0 0 0 1 1 1 1 1 1 0 0 0 0 0 > 1 > -1 5 > 5 > 0 1 1 > 0 2 2 > 0 3 3
1 1 0 0 1 1 1 0 0 0 0 1 1 1 1 0 0 1 1 0 0 1 1 0 1 0 1 0 1 1 1 1 0 1 1 0 > 1 > -2 5 > 5 > 1 0 2 > 1 1 4 > 1 2 6
1 1 0 1 1 0 1 1 0 1 1 1 0 1 1 1 1 0 1 0 0 1 0 1 1 1 1 0 1 1 0 1 0 0 1 0 > 1 > 2 7 > 7 > 0 0 1 > 0 0 2 > 0 0 3
1 0 1 1 0 0 1 1 1 0 0 1 0 1 1 1 0 0 1 0 0 1 0 0 0 1 0 1 0 1 1 0 0 0 0 0 > 1 > 3 8 > 8 > 0 1 1 > 1 1 2 > 1 1 4
1 1 1 0 0 0 1 0 1 0 1 1 1 1 1 0 1 0 1 0 1 1 0 0 1 1 1 1 1 0 0 0 0 1 1 0 > 1 > -2 12 > 12 > 0 0 1 > 0 0 2 > 0 0 3
1 1 1 1 0 0 1 1 1 1 1 1 1 0 1 0 0 0 1 0 0 1 0 0 1 0 0 1 0 0 1 0 0 1 0 0 > 1 > -2 13 > 13 > 1 0 1 > 1 0 2 > 1 0 3
1 1 1 1 0 0 0 1 1 0 1 1 0 1 0 0 1 1 0 1 1 1 1 0 0 1 1 1 1 0 0 0 1 1 0 0 > 1 > -2 14 > 14 > 1 0 1 > 2 0 2 > 2 0 3
1 1 1 1 0 0 1 1 1 0 1 1 1 1 1 1 1 0 1 0 0 0 1 0 0 1 0 0 1 0 0 0 0 1 0 0 > 1 > 0 12 > 12 > 0 0 1 > 1 0 3 > 2 0 6
1 1 1 0 0 0 1 1 0 1 1 0 1 1 1 0 1 1 1 0 0 1 1 1 1 1 0 1 0 1 0 0 0 1 0 0 > 1 > -1 12 > 12 > 2 0 2 > 3 0 6 > 4 0 9
0 0 1 1 1 0 1 1 0 1 1 0 1 1 1 1 0 0 1 0 0 0 1 1 1 1 1 0 1 0 0 1 1 0 0 0 > 1 > -3 12 > 12 > 1 0 1 > 3 0 4 > 5 0 7
1 1 1 1 0 0 0 1 1 1 1 1 1 1 1 1 0 0 0 0 0 1 0 0 0 0 0 0 1 0 0 0 1 1 1 0 > 1 > -3 13 > 13 > 2 0 2 > 4 0 4 > 5 0 8
1 1 1 0 0 0 1 1 1 0 1 0 1 0 1 1 0 0 1 0 0 1 0 0 1 0 1 1 1 1 0 0 0 1 1 0 > 1 > 2 12 > 12 > 0 0 1 > 1 0 4 > 2 1 7
0 1 1 1 0 0 1 1 1 1 1 1 1 1 0 0 0 0 1 1 0 1 1 0 1 1 1 0 1 1 1 1 1 0 0 1 > 1 > 5 10 > 11 > 0 2 2 > 0 3 5 > 0 3 9
1 0 1 1 0 0 1 1 1 0 1 1 1 1 1 0 1 0 1 0 1 1 0 0 1 1 1 1 0 0 0 0 0 1 0 0 > 1 > 3 9 > 9 > 1 0 2 > 1 2 6 > 3 3 12
1 1 1 0 0 0 1 1 1 0 1 0 1 1 0 1 0 0 1 0 1 0 0 1 0 1 1 0 1 1 1 0 0 1 0 0 > 1 > 4 13 > 13 > 0 0 2 > 0 1 7 > 1 2 16
1 0 1 1 0 1 1 1 1 0 0 1 1 1 1 1 1 0 1 0 0 1 0 1 0 1 1 1 0 1 1 0 0 1 1 1 > 1 > 2 3 > 3 > 0 1 2 > 0 2 7 > 0 5 15
0 1 1 1 0 0 1 1 1 0 0 0 1 1 0 1 1 1 1 1 0 1 0 1 1 1 1 1 0 1 0 0 0 1 0 1 > 1 > 2 0 > 2 > 0 0 3 > 0 1 7 > 1 1 13
0 1 1 0 0 0 1 1 1 1 1 1 1 1 0 1 1 0 0 1 1 1 0 1 1 1 1 1 0 0 1 0 0 0 0 0 > 1 > 8 7 > 10 > 0 1 2 > 0 2 7 > 0 4 14
1 1 0 1 0 0 1 0 1 1 0 0 1 1 0 0 0 0 1 0 0 1 0 0 0 0 1 0 0 1 1 0 0 0 0 1 > 1 > 15 15 > 21 > 0 0 1 > 0 0 3 > 0 0 5
1 1 1 0 0 0 1 1 0 0 1 1 0 1 1 0 1 0 0 0 0 1 0 1 0 1 1 1 0 1 1 0 0 1 0 0 > 1 > 22 12 > 25 > 0 0 1 > 0 1 3 > 0 2 4
1 0 0 1 0 0 1 1 1 0 1 1 1 0 0 1 0 0 0 0 0 1 0 1 1 1 1 0 1 0 0 0 0 1 1 0 > 1 > 22 8 > 23 > 0 0 1 > 0 0 4 > 0 0 7
1 0 1 1 0 0 1 1 1 1 1 1 1 0 1 1 1 0 1 0 0 1 1 0 0 1 1 1 0 1 1 1 0 0 0 0 > 1 > 19 6 > 19 > 0 0 1 > 0 0 2 > 0 1 5
1 0 1 1 1 0 0 1 0 0 1 0 1 1 1 1 1 0 0 0 1 0 0 1 1 1 1 0 1 1 0 0 0 1 0 0 > 1 > 7 -8 > 10 > 0 0 1 > 0 0 2 > 0 0 3
1 1 1 1 0 0 1 0 0 1 0 1 1 1 1 1 0 0 1 0 0 1 0 1 0 0 0 1 0 1 0 0 0 1 0 1 > 1 > 10 -4 > 10 > 0 0 1 > 0 0 3 > 0 1 8
1 0 1 1 0 0 0 1 0 0 0 0 1 1 1 0 0 0 1 1 1 0 0 0 1 0 1 0 0 0 0 0 0 0 0 0 > 1 > 7 -7 > 9 > 1 0 2 > 1 1 7 > 1 2 13
1 1 0 1 0 0 0 1 0 0 0 0 0 0 1 1 1 0 1 1 1 1 0 0 1 1 1 1 0 1 0 0 0 0 0 0 > 1 > 8 -11 > 13 > 0 0 1 > 0 1 2 > 0 2 5
1 1 1 0 0 0 1 0 1 0 1 1 1 1 0 1 0 1 1 1 1 1 0 0 0 1 1 0 0 0 1 0 1 1 0 0 > 1 > 17 -15 > 22 > 0 1 1 > 0 1 2 > 0 1 3
0 1 1 1 1 0 1 0 1 0 0 0 0 1 1 1 0 0 1 0 0 1 0 1 1 1 1 1 0 0 0 0 1 1 0 1 > 1 > 14 -13 > 19 > 0 1 2 > 0 1 6 > 0 2 14
1 0 1 1 1 1 1 1 1 0 1 1 1 1 1 1 1 1 1 0 1 0 0 1 1 1 1 1 1 1 0 0 1 1 1 0 > 1 > 13 -13 > 18 > 1 0 3 > 1 1 11 > 1 3 23
1 1 1 1 0 0 0 1 1 0 1 1 1 1 0 1 0 1 1 0 1 0 0 0 1 1 0 0 0 0 0 0 0 0 0 0 > 1 > 17 -9 > 19 > 0 1 3 > 0 3 9 > 0 4 16
1 1 1 1 0 0 1 1 1 1 0 1 1 0 1 1 0 0 0 0 1 1 0 0 0 1 1 0 0 0 1 0 0 1 1 0 > 1 > 21 -12 > 24 > 0 0 1 > 0 0 2 > 0 0 3
