0 1 0 0 0 0 0 1 1 1 1 1 1 1 1 1 0 0 1 0 0 1 0 1 0 1 1 0 1 1 0 1 1 1 1 0 48 0 0 1 0 0 3 0 1 6 > 1
0 1 1 1 0 1 1 1 1 1 1 1 0 1 1 1 0 0 1 1 1 1 0 1 0 1 0 1 0 1 0 0 0 1 0 0 81 0 0 2 0 0 7 0 1 15 > 0
1 1 1 0 1 0 1 1 1 1 0 0 1 1 1 1 0 0 1 0 0 0 0 1 1 0 1 0 0 0 1 0 0 1 0 1 24 1 0 1 1 0 2 1 1 3 > 0
1 0 1 0 0 0 1 1 0 1 1 1 0 0 1 0 1 0 1 0 0 1 0 0 1 1 0 1 1 1 1 1 0 1 0 0 35 0 0 2 0 1 5 0 2 13 > 0
0 1 1 1 0 0 1 1 0 0 1 1 1 1 1 1 0 1 0 0 0 1 0 0 1 1 0 0 0 1 1 0 0 0 1 0 17 1 0 2 1 0 5 2 0 9 > 1
1 1 1 1 0 1 1 0 0 0 1 1 1 1 0 1 1 0 1 1 1 1 0 0 1 1 1 1 1 0 0 0 0 1 0 0 73 0 0 4 0 1 12 0 1 21 > 0
0 0 0 1 0 0 1 1 0 1 1 1 1 1 1 1 0 0 1 0 1 1 1 1 0 1 1 0 1 1 0 0 1 0 0 1 19 0 0 1 0 0 2 0 0 3 > 1
1 0 1 0 0 0 1 1 0 1 0 1 1 1 1 1 0 0 1 0 0 1 0 1 1 1 1 0 1 0 1 1 1 0 0 0 13 0 0 1 0 0 2 0 0 5 > 1
0 0 1 1 0 1 1 1 0 1 1 1 1 1 1 0 0 0 0 0 0 1 1 0 1 1 1 1 1 1 1 0 0 1 0 0 30 0 2 2 0 3 6 0 3 15 > 0
1 0 1 0 0 0 1 1 1 0 1 1 0 1 0 1 1 1 1 1 0 1 0 0 1 1 1 0 0 1 1 0 0 1 0 0 56 0 0 2 0 0 6 0 0 12 > 1
1 1 1 1 0 0 1 0 1 0 1 1 0 1 1 1 0 0 1 0 0 1 1 0 1 1 1 1 1 1 1 1 0 0 1 0 7 1 0 2 5 0 6 7 1 13 > 1
1 1 1 1 1 0 1 0 1 0 1 1 1 1 0 0 0 0 1 0 0 1 0 0 0 0 0 1 1 0 1 1 0 0 1 0 70 0 0 3 0 2 10 0 3 21 > 1
1 1 1 1 0 1 1 1 1 1 1 0 1 0 1 0 0 0 1 1 0 1 0 1 1 0 1 1 0 0 0 0 1 1 0 0 5 2 0 3 2 1 8 4 2 17 > 1
1 0 1 0 0 0 1 1 1 1 1 1 1 1 0 1 0 0 0 0 1 1 1 0 1 1 1 0 1 1 1 0 0 0 0 0 9 1 0 4 1 2 11 3 4 23 > 1
1 0 1 0 0 1 0 1 1 0 1 1 0 1 1 1 1 0 0 0 0 1 1 0 1 1 1 0 0 0 1 0 0 1 1 0 10 1 0 2 1 0 6 2 0 10 > 1
1 1 1 1 0 1 1 1 1 0 1 1 1 1 1 0 1 1 1 1 0 0 0 1 0 0 1 1 1 1 0 0 0 1 1 1 7 1 0 1 1 0 2 1 0 3 > 1
1 1 1 1 1 0 1 0 1 0 1 0 1 1 1 1 0 0 1 0 0 1 0 0 0 1 1 1 0 0 0 1 0 1 0 0 13 1 0 2 1 0 4 2 2 7 > 1
1 0 1 1 0 1 0 1 1 0 0 1 1 1 1 0 0 1 0 0 0 1 1 0 1 1 0 1 1 0 1 1 0 1 1 0 72 0 0 1 0 0 2 0 1 5 > 0
0 1 1 1 0 0 1 1 0 1 1 1 1 1 1 1 1 0 1 0 0 1 0 0 0 1 1 1 0 1 0 1 0 0 0 0 28 0 0 1 0 1 5 0 1 10 > 1
1 0 1 1 0 0 0 1 0 1 1 1 0 0 1 1 0 0 1 0 0 1 0 1 0 0 0 1 1 0 1 0 0 0 0 0 23 0 0 1 0 0 2 0 0 3 > 1
